_NAME_,_LABEL_,COL1
Rx_CE_NoLowAged_RXHCC98,Rx_CE_NoLowAged_RXHCC98 -- Hereditary Angioedema and Other Defects in the Complement System,9.161
Rx_CE_NoLowAged_RXHCC99,Rx_CE_NoLowAged_RXHCC99 -- Immune Disorders,0.449
Rx_CE_NoLowAged_RXHCC100,Rx_CE_NoLowAged_RXHCC100 -- Immune Thrombocytopenic Purpura,0.478
Rx_CE_NoLowAged_RXHCC111,Rx_CE_NoLowAged_RXHCC111 -- Alzheimer's Disease,0
Rx_CE_NoLowAged_RXHCC112,"Rx_CE_NoLowAged_RXHCC112 -- Dementia, Except Alzheimer's Disease",0
Rx_CE_NoLowAged_RXHCC130,Rx_CE_NoLowAged_RXHCC130 -- Schizophrenia and Other Psychosis,0.261
Rx_CE_NoLowAged_RXHCC131,Rx_CE_NoLowAged_RXHCC131 -- Bipolar Disorders,0.254
Rx_CE_NoLowAged_RXHCC132,Rx_CE_NoLowAged_RXHCC132 -- Depression,0.04
Rx_CE_NoLowAged_RXHCC133,Rx_CE_NoLowAged_RXHCC133 -- Anxiety and Other Psychiatric Disorders,0.032
Rx_CE_NoLowAged_RXHCC146,Rx_CE_NoLowAged_RXHCC146 -- Profound or Severe Intellectual Disability/Developmental Disorder,0.525
Rx_CE_NoLowAged_RXHCC147,Rx_CE_NoLowAged_RXHCC147 -- Moderate Intellectual Disability/Developmental Disorder,0.525
Rx_CE_NoLowAged_RXHCC148,Rx_CE_NoLowAged_RXHCC148 -- Mild or Unspecified Intellectual Disability/Developmental Disorder,0.525
Rx_CE_NoLowAged_RXHCC153,Rx_CE_NoLowAged_RXHCC153 -- Myasthenia Gravis and Other Myoneural Disorders,1.972
Rx_CE_NoLowAged_RXHCC154,Rx_CE_NoLowAged_RXHCC154 -- Amyotrophic Lateral Sclerosis and Other Motor Neuron Disease,4.754
Rx_CE_NoLowAged_RXHCC155,Rx_CE_NoLowAged_RXHCC155 -- Spinal Cord Disorders,0.057
Rx_CE_NoLowAged_RXHCC157,Rx_CE_NoLowAged_RXHCC157 -- Chronic Inflammatory Demyelinating Polyneuritis ,4.666
Rx_CE_NoLowAged_RXHCC158,Rx_CE_NoLowAged_RXHCC158 -- Inflammatory and Toxic Neuropathy,0
Rx_CE_NoLowAged_RXHCC159,Rx_CE_NoLowAged_RXHCC159 -- Multiple Sclerosis,1.113
Rx_CE_NoLowAged_RXHCC160,Rx_CE_NoLowAged_RXHCC160 -- Huntington Disease,1.896
Rx_CE_NoLowAged_RXHCC161,Rx_CE_NoLowAged_RXHCC161 -- Parkinson Disease,0.48
Rx_CE_NoLowAged_RXHCC163,Rx_CE_NoLowAged_RXHCC163 -- Intractable Epilepsy,0.12
Rx_CE_NoLowAged_RXHCC164,"Rx_CE_NoLowAged_RXHCC164 -- Epilepsy and Other Seizure Disorders, Except Intractable Epilepsy",0
Rx_CE_NoLowAged_RXHCC166,Rx_CE_NoLowAged_RXHCC166 -- Migraine Headaches,0.118
Rx_CE_NoLowAged_RXHCC168,Rx_CE_NoLowAged_RXHCC168 -- Trigeminal and Postherpetic Neuralgia,0.063
Rx_CE_NoLowAged_RXHCC183,Rx_CE_NoLowAged_RXHCC183 -- Pulmonary Arterial Hypertension,1.832
Rx_CE_NoLowAged_RXHCC184,"Rx_CE_NoLowAged_RXHCC184 -- Pulmonary Hypertension, Except Arterial, and Other Pulmonary Heart Disease",0.177
Rx_CE_NoLowAged_RXHCC186,Rx_CE_NoLowAged_RXHCC186 -- Heart Failure,0.135
Rx_CE_NoLowAged_RXHCC187,Rx_CE_NoLowAged_RXHCC187 -- Hypertension,0.046
Rx_CE_NoLowAged_RXHCC188,Rx_CE_NoLowAged_RXHCC188 -- Coronary Artery Disease,0.061
Rx_CE_NoLowAged_RXHCC191,Rx_CE_NoLowAged_RXHCC191 -- Ventricular Septal Defect and Major Congenital Heart Disorders,0.185
Rx_CE_NoLowAged_RXHCC193,Rx_CE_NoLowAged_RXHCC193 -- Atrial Arrhythmias,0.214
Rx_CE_NoLowAged_RXHCC207,Rx_CE_NoLowAged_RXHCC207 -- Spastic Hemiplegia,0
Rx_CE_NoLowAged_RXHCC215,Rx_CE_NoLowAged_RXHCC215 -- Venous Thromboembolism,0.219
Rx_CE_NoLowAged_RXHCC225,Rx_CE_NoLowAged_RXHCC225 -- Cystic Fibrosis,10.36
Rx_CE_NoLowAged_RXHCC226,Rx_CE_NoLowAged_RXHCC226 -- Idiopathic Pulmonary Fibrosis and Systemic Sclerosis with Lung Involvement,3.683
Rx_CE_NoLowAged_RXHCC227,"Rx_CE_NoLowAged_RXHCC227 -- Pulmonary Fibrosis, Except Idiopathic",0.335
Rx_CE_NoLowAged_RXHCC228,Rx_CE_NoLowAged_RXHCC228 -- Severe Persistent Asthma,0.978
Rx_CE_NoLowAged_RXHCC229,"Rx_CE_NoLowAged_RXHCC229 -- Chronic Obstructive Pulmonary Disease, Bronchiectasis, and Other Asthma",0.214
Rx_CE_NoLowAged_RXHCC243,"Rx_CE_NoLowAged_RXHCC243 -- Glaucoma, Open-Angle or Moderate/Severe Stage",0.136
Rx_CE_NoLowAged_RXHCC244,Rx_CE_NoLowAged_RXHCC244 -- Other Non-Acute Glaucoma,0
Rx_CE_NoLowAged_RXHCC260,Rx_CE_NoLowAged_RXHCC260 -- Kidney Transplant Status,0
Rx_CE_NoLowAged_RXHCC261,"Rx_CE_NoLowAged_RXHCC261 -- Dialysis Status, Including End Stage Renal Disease",0.009
Rx_CE_NoLowAged_RXHCC262,Rx_CE_NoLowAged_RXHCC262 -- Chronic Kidney Disease Stage 5,0.009
Rx_CE_NoLowAged_RXHCC263,Rx_CE_NoLowAged_RXHCC263 -- Chronic Kidney Disease Stage 4,0.009
Rx_CE_NoLowAged_RXHCC311,"Rx_CE_NoLowAged_RXHCC311 -- Chronic Ulcer of Skin, Except Pressure",0.135
Rx_CE_NoLowAged_RXHCC314,"Rx_CE_NoLowAged_RXHCC314 -- Pemphigus, Pemphigoid, and Other Bullous Skin Disorders",0.28
Rx_CE_NoLowAged_RXHCC316,"Rx_CE_NoLowAged_RXHCC316 -- Psoriasis, Except with Arthropathy",0.198
Rx_CE_NoLowAged_RXHCC317,Rx_CE_NoLowAged_RXHCC317 -- Discoid Lupus Erythematosus,0.076
Rx_CE_NoLowAged_RXHCC355,Rx_CE_NoLowAged_RXHCC355 -- Narcolepsy and Cataplexy,0.922
Rx_CE_NoLowAged_RXHCC395,"Rx_CE_NoLowAged_RXHCC395 -- Stem Cell, Including Bone Marrow, Transplant Status/Complications",3.425
Rx_CE_NoLowAged_RXHCC396,"Rx_CE_NoLowAged_RXHCC396 -- Heart, Lung, Liver, Intestine, or Pancreas Transplant Status",0
Rx_CE_NoLowNoAged_F0_34,"Rx_CE_NoLowNoAged_W0_34 -- Female, Age  0 - 34",0.328
Rx_CE_NoLowNoAged_F35_44,"Rx_CE_NoLowNoAged_W35_44 -- Female, Age 35 - 44",0.363
Rx_CE_NoLowNoAged_F45_54,"Rx_CE_NoLowNoAged_W45_54 -- Female, Age 45 - 54",0.334
Rx_CE_NoLowNoAged_F55_59,"Rx_CE_NoLowNoAged_W55_59 -- Female, Age 55 - 59",0.242
Rx_CE_NoLowNoAged_F60_64,"Rx_CE_NoLowNoAged_W60_64 -- Female, Age 60 - 64",0.165
Rx_CE_NoLowNoAged_M0_34,"Rx_CE_NoLowNoAged_M0_34 -- Male,   Age  0 - 34",0.181
Rx_CE_NoLowNoAged_M35_44,"Rx_CE_NoLowNoAged_M35_44 -- Male,   Age 35 - 44",0.241
Rx_CE_NoLowNoAged_M45_54,"Rx_CE_NoLowNoAged_M45_54 -- Male,   Age 45 - 54",0.217
Rx_CE_NoLowNoAged_M55_59,"Rx_CE_NoLowNoAged_M55_59 -- Male,   Age 55 - 59",0.194
Rx_CE_NoLowNoAged_M60_64,"Rx_CE_NoLowNoAged_M60_64 -- Male,   Age 60 - 64",0.188
Rx_CE_NoLowNoAged_RXHCC1,Rx_CE_NoLowNoAged_RXHCC1 -- HIV/AIDS,9.961
Rx_CE_NoLowNoAged_RXHCC5,Rx_CE_NoLowNoAged_RXHCC5 -- Opportunistic Infections,0.564
Rx_CE_NoLowNoAged_RXHCC15,Rx_CE_NoLowNoAged_RXHCC15 -- Chronic Myeloid Leukemia,4.016
Rx_CE_NoLowNoAged_RXHCC16,Rx_CE_NoLowNoAged_RXHCC16 -- Multiple Myeloma and Other Hematologic Cancers,10.209
Rx_CE_NoLowNoAged_RXHCC17,Rx_CE_NoLowNoAged_RXHCC17 -- Secondary Cancer of Bone and Kidney,4.016
Rx_CE_NoLowNoAged_RXHCC18,"Rx_CE_NoLowNoAged_RXHCC18 -- Secondary Cancer of Lung, Liver, Brain, and Other Sites",2.192
Rx_CE_NoLowNoAged_RXHCC19,Rx_CE_NoLowNoAged_RXHCC19 -- Leukemias and Other Hematologic Cancers,2.192
Rx_CE_NoLowNoAged_RXHCC20,"Rx_CE_NoLowNoAged_RXHCC20 -- Lung, Kidney, and Other Cancers; Secondary Cancer of Lymph Nodes and Other Sites",0.471
Rx_CE_NoLowNoAged_RXHCC21,Rx_CE_NoLowNoAged_RXHCC21 -- Lymphomas and Other Hematologic Cancers,0.267
Rx_CE_NoLowNoAged_RXHCC22,"Rx_CE_NoLowNoAged_RXHCC22 -- Prostate, Breast, Bladder, and Other Cancers and Tumors",0.072
Rx_CE_NoLowNoAged_RXHCC30,Rx_CE_NoLowNoAged_RXHCC30 -- Diabetes with Complications,0.682
Rx_CE_NoLowNoAged_RXHCC31,Rx_CE_NoLowNoAged_RXHCC31 -- Diabetes without Complication,0.281
Rx_CE_NoLowNoAged_RXHCC40,Rx_CE_NoLowNoAged_RXHCC40 -- Alpha-1-Antitrypsin Deficiency,6.735
Rx_CE_NoLowNoAged_RXHCC41,Rx_CE_NoLowNoAged_RXHCC41 -- Lysosomal Storage Disorders,10.426
Rx_CE_NoLowNoAged_RXHCC42,Rx_CE_NoLowNoAged_RXHCC42 -- Acromegaly and Other Endocrine and Metabolic Disorders,3.395
Rx_CE_NoLowNoAged_RXHCC43,"Rx_CE_NoLowNoAged_RXHCC43 -- Pituitary, Adrenal Gland, and Other Endocrine and Metabolic Disorders",0.143
Rx_CE_NoLowNoAged_RXHCC44,Rx_CE_NoLowNoAged_RXHCC44 -- Thyroid Disorders,0.161
Rx_CE_NoLowNoAged_RXHCC47,Rx_CE_NoLowNoAged_RXHCC47 -- Disorders of Lipoid Metabolism,0
Rx_CE_NoLowNoAged_RXHCC54,Rx_CE_NoLowNoAged_RXHCC54 -- Chronic Viral Hepatitis C,0.317
Rx_CE_NoLowNoAged_RXHCC55,Rx_CE_NoLowNoAged_RXHCC55 -- Acute or Unspecified Viral Hepatitis C,0.317
Rx_CE_NoLowNoAged_RXHCC56,Rx_CE_NoLowNoAged_RXHCC56 -- Chronic Viral Hepatitis B and Other Specified Chronic Viral Hepatitis,0.604
Rx_CE_NoLowNoAged_RXHCC59,Rx_CE_NoLowNoAged_RXHCC59 -- Primary Biliary Cirrhosis,1.345
Rx_CE_NoLowNoAged_RXHCC65,Rx_CE_NoLowNoAged_RXHCC65 -- Chronic Pancreatitis,0.612
Rx_CE_NoLowNoAged_RXHCC66,"Rx_CE_NoLowNoAged_RXHCC66 -- Pancreatic Disorders and Intestinal Malabsorption, Except Pancreatitis",0.612
Rx_CE_NoLowNoAged_RXHCC67,Rx_CE_NoLowNoAged_RXHCC67 -- Inflammatory Bowel Disease,0.6
Rx_CE_NoLowNoAged_RXHCC80,Rx_CE_NoLowNoAged_RXHCC80 -- Aseptic Necrosis of Bone,0.244
Rx_CE_NoLowNoAged_RXHCC81,Rx_CE_NoLowNoAged_RXHCC81 -- Psoriatic Arthropathy,0.494
Rx_CE_NoLowNoAged_RXHCC82,Rx_CE_NoLowNoAged_RXHCC82 -- Systemic Sclerosis,1.247
Rx_CE_NoLowNoAged_RXHCC83,Rx_CE_NoLowNoAged_RXHCC83 -- Rheumatoid Arthritis and Other Inflammatory Polyarthropathy,0.23
Rx_CE_NoLowNoAged_RXHCC84,Rx_CE_NoLowNoAged_RXHCC84 -- Systemic Lupus Erythematosus and Other Systemic Connective Tissue Disorders,0.23
Rx_CE_NoLowNoAged_RXHCC87,"Rx_CE_NoLowNoAged_RXHCC87 -- Osteoporosis, Vertebral and Pathological Fractures",0.17
Rx_CE_NoLowNoAged_RXHCC95,Rx_CE_NoLowNoAged_RXHCC95 -- Sickle Cell Anemia,0.908
Rx_CE_NoLowNoAged_RXHCC96,"Rx_CE_NoLowNoAged_RXHCC96 -- Acquired Hemolytic, Aplastic, and Sideroblastic Anemias",0.525
Rx_CE_NoLowNoAged_RXHCC98,Rx_CE_NoLowNoAged_RXHCC98 -- Hereditary Angioedema and Other Defects in the Complement System,46.954
Rx_CE_NoLowNoAged_RXHCC99,Rx_CE_NoLowNoAged_RXHCC99 -- Immune Disorders,0.44
Rx_CE_NoLowNoAged_RXHCC100,Rx_CE_NoLowNoAged_RXHCC100 -- Immune Thrombocytopenic Purpura,0.341
Rx_CE_NoLowNoAged_RXHCC111,Rx_CE_NoLowNoAged_RXHCC111 -- Alzheimer's Disease,0
Rx_CE_NoLowNoAged_RXHCC112,"Rx_CE_NoLowNoAged_RXHCC112 -- Dementia, Except Alzheimer's Disease",0
Rx_CE_NoLowNoAged_RXHCC130,Rx_CE_NoLowNoAged_RXHCC130 -- Schizophrenia and Other Psychosis,0.316
Rx_CE_NoLowNoAged_RXHCC131,Rx_CE_NoLowNoAged_RXHCC131 -- Bipolar Disorders,0.16
Rx_CE_NoLowNoAged_RXHCC132,Rx_CE_NoLowNoAged_RXHCC132 -- Depression,0.018
Rx_CE_NoLowNoAged_RXHCC133,Rx_CE_NoLowNoAged_RXHCC133 -- Anxiety and Other Psychiatric Disorders,0.018
Rx_CE_NoLowNoAged_RXHCC146,Rx_CE_NoLowNoAged_RXHCC146 -- Profound or Severe Intellectual Disability/Developmental Disorder,0.127
Rx_CE_NoLowNoAged_RXHCC147,Rx_CE_NoLowNoAged_RXHCC147 -- Moderate Intellectual Disability/Developmental Disorder,0
Rx_CE_NoLowNoAged_RXHCC148,Rx_CE_NoLowNoAged_RXHCC148 -- Mild or Unspecified Intellectual Disability/Developmental Disorder,0
Rx_CE_NoLowNoAged_RXHCC153,Rx_CE_NoLowNoAged_RXHCC153 -- Myasthenia Gravis and Other Myoneural Disorders,3.41
Rx_CE_NoLowNoAged_RXHCC154,Rx_CE_NoLowNoAged_RXHCC154 -- Amyotrophic Lateral Sclerosis and Other Motor Neuron Disease,4.995
Rx_CE_NoLowNoAged_RXHCC155,Rx_CE_NoLowNoAged_RXHCC155 -- Spinal Cord Disorders,0.146
Rx_CE_NoLowNoAged_RXHCC157,Rx_CE_NoLowNoAged_RXHCC157 -- Chronic Inflammatory Demyelinating Polyneuritis ,9.323
Rx_CE_NoLowNoAged_RXHCC158,Rx_CE_NoLowNoAged_RXHCC158 -- Inflammatory and Toxic Neuropathy,0
Rx_CE_NoLowNoAged_RXHCC159,Rx_CE_NoLowNoAged_RXHCC159 -- Multiple Sclerosis,1.277
Rx_CE_NoLowNoAged_RXHCC160,Rx_CE_NoLowNoAged_RXHCC160 -- Huntington Disease,1.412
